referer,id,mandante,visitante,placar,liga,country,round,year,data
/football/cameroon/elite-one/colombe-bamboutos-fc/,6eEBkcIs,Colombe,Bamboutos FC,5:3,elite-one,cameroon,main,2023,2023-11-19
/football/cameroon/elite-one/gazelle-dynamo-douala/,ppCrdauE,Gazelle,Dynamo Douala,0:1,elite-one,cameroon,main,2023,2023-11-19
/football/cameroon/elite-one/union-douala-as-fortuna-mfou/,0IDFlHXm,Union Douala,Fortuna Mfou,1:1,elite-one,cameroon,main,2023,2023-11-19
/football/cameroon/elite-one/yong-sports-victoria-united/,8K0gpHbh,Yong Sports Academy,Victoria United,0:2,elite-one,cameroon,main,2023,2023-11-18
/football/cameroon/elite-one/victoria-united-ums-de-loum/,dtXzSZrO,Victoria United,UMS de Loum,2:2,elite-one,cameroon,main,2023,2023-11-12
/football/cameroon/elite-one/aigle-royal-bamenda/,zFUiZyY0,Aigle Royal,Bamenda,2:2,elite-one,cameroon,main,2023,2023-11-12
/football/cameroon/elite-one/bamboutos-fc-canon-yaounde/,IwKdYem7,Bamboutos FC,Canon Yaounde,3:3,elite-one,cameroon,main,2023,2023-11-12
/football/cameroon/elite-one/dynamo-douala-colombe/,SlRqyb3l,Dynamo Douala,Colombe,1:1,elite-one,cameroon,main,2023,2023-11-12
/football/cameroon/elite-one/gazelle-as-fortuna-mfou/,dOVmzIIf,Gazelle,Fortuna Mfou,1:1,elite-one,cameroon,main,2023,2023-11-12
/football/cameroon/elite-one/les-astres-union-douala/,WtO0XF2D,Les Astres,Union Douala,0:1,elite-one,cameroon,main,2023,2023-11-12
/football/cameroon/elite-one/avion-academy-apejes-academy/,QeBlocqn,Avion Academy,APEJES Academy,1:1,elite-one,cameroon,main,2023,2023-11-11
/football/cameroon/elite-one/stade-renard-fovu-baham/,n5CpnwUu,Stade Renard,Fovu Baham,1:0,elite-one,cameroon,main,2023,2023-11-11
/football/cameroon/elite-one/yong-sports-fauve-azur-elite/,zXVvRgbU,Yong Sports Academy,Fauve Azur Elite,3:1,elite-one,cameroon,main,2023,2023-11-11
/football/cameroon/elite-one/apejes-academy-stade-renard/,EHsWSFTH,APEJES Academy,Stade Renard,0:1,elite-one,cameroon,main,2023,2023-11-06
/football/cameroon/elite-one/ums-de-loum-fauve-azur-elite/,6ivOUya5,UMS de Loum,Fauve Azur Elite,0:0,elite-one,cameroon,main,2023,2023-11-06
/football/cameroon/elite-one/avion-academy-victoria-united/,S0uKVHqa,Avion Academy,Victoria United,2:2,elite-one,cameroon,main,2023,2023-11-05
/football/cameroon/elite-one/cotonsport-yong-sports/,0EwSTeEB,Cotonsport,Yong Sports Academy,2:0,elite-one,cameroon,main,2023,2023-11-05
/football/cameroon/elite-one/bamboutos-fc-aigle-royal/,rHkDtKuR,Bamboutos FC,Aigle Royal,3:1,elite-one,cameroon,main,2023,2023-11-05
/football/cameroon/elite-one/canon-yaounde-dynamo-douala/,CIY1qMe8,Canon Yaounde,Dynamo Douala,1:2,elite-one,cameroon,main,2023,2023-11-05
/football/cameroon/elite-one/colombe-as-fortuna-mfou/,j9X5rtBE,Colombe,Fortuna Mfou,0:0,elite-one,cameroon,main,2023,2023-11-05
/football/cameroon/elite-one/union-douala-bamenda/,lbSuxvlr,Union Douala,Bamenda,1:1,elite-one,cameroon,main,2023,2023-11-05
/football/cameroon/elite-one/les-astres-gazelle/,pWW9s0QK,Les Astres,Gazelle,1:1,elite-one,cameroon,main,2023,2023-10-25
/football/cameroon/elite-one/fauve-azur-elite-fovu-baham/,SQAFYJat,Fauve Azur Elite,Fovu Baham,0:3,elite-one,cameroon,main,2023,2023-10-23
/football/cameroon/elite-one/cotonsport-ums-de-loum/,MmAJXwFn,Cotonsport,UMS de Loum,4:1,elite-one,cameroon,main,2023,2023-10-22
/football/cameroon/elite-one/stade-renard-yong-sports/,0v9NWcUh,Stade Renard,Yong Sports Academy,1:0,elite-one,cameroon,main,2023,2023-10-22
/football/cameroon/elite-one/aigle-royal-gazelle/,dAjFLI31,Aigle Royal,Gazelle,1:1,elite-one,cameroon,main,2023,2023-10-22
/football/cameroon/elite-one/bamenda-as-fortuna-mfou/,lpm7NvZl,Bamenda,Fortuna Mfou,1:0,elite-one,cameroon,main,2023,2023-10-22
/football/cameroon/elite-one/canon-yaounde-union-douala/,z1kJKxJ7,Canon Yaounde,Union Douala,0:0,elite-one,cameroon,main,2023,2023-10-22
/football/cameroon/elite-one/colombe-les-astres/,2miBMble,Colombe,Les Astres,2:1,elite-one,cameroon,main,2023,2023-10-22
/football/cameroon/elite-one/dynamo-douala-bamboutos-fc/,6Lc2OKJr,Dynamo Douala,Bamboutos FC,1:2,elite-one,cameroon,main,2023,2023-10-22
/football/cameroon/elite-one/victoria-united-apejes-academy/,j5Jmw0iP,Victoria United,APEJES Academy,POS,elite-one,cameroon,main,2023,2023-10-21
/football/cameroon/elite-one/apejes-academy-fauve-azur-elite/,tzxcGxpC,APEJES Academy,Fauve Azur Elite,1:1,elite-one,cameroon,main,2023,2023-10-18
/football/cameroon/elite-one/fovu-baham-victoria-united/,2qwgHIU5,Fovu Baham,Victoria United,2:1,elite-one,cameroon,main,2023,2023-10-18
/football/cameroon/elite-one/yong-sports-ums-de-loum/,l0u5EGEO,Yong Sports Academy,UMS de Loum,0:0,elite-one,cameroon,main,2023,2023-10-18
/football/cameroon/elite-one/bamboutos-fc-as-fortuna-mfou/,zXNNV2R8,Bamboutos FC,Fortuna Mfou,3:0,elite-one,cameroon,main,2023,2023-10-18
/football/cameroon/elite-one/bamenda-dynamo-douala/,MTJJWrC2,Bamenda,Dynamo Douala,0:2,elite-one,cameroon,main,2023,2023-10-18
/football/cameroon/elite-one/gazelle-colombe/,dnCWTtdL,Gazelle,Colombe,1:0,elite-one,cameroon,main,2023,2023-10-18
/football/cameroon/elite-one/les-astres-canon-yaounde/,IeDSUMtF,Les Astres,Canon Yaounde,2:1,elite-one,cameroon,main,2023,2023-10-18
/football/cameroon/elite-one/union-douala-aigle-royal/,4CBzT0BR,Union Douala,Aigle Royal,0:0,elite-one,cameroon,main,2023,2023-10-18
/football/cameroon/elite-one/avion-academy-cotonsport/,A9t1FdaI,Avion Academy,Cotonsport,1:1,elite-one,cameroon,main,2023,2023-10-17
/football/cameroon/elite-one/gazelle-canon-yaounde/,UZWX8uKe,Gazelle,Canon Yaounde,0:0,elite-one,cameroon,main,2023,2023-10-15
/football/cameroon/elite-one/union-douala-bamboutos-fc/,8QVy8aZ1,Union Douala,Bamboutos FC,3:2,elite-one,cameroon,main,2023,2023-10-15
/football/cameroon/elite-one/fauve-azur-elite-cotonsport/,ENptKKpm,Fauve Azur Elite,Cotonsport,1:0,elite-one,cameroon,main,2023,2023-10-14
/football/cameroon/elite-one/ums-de-loum-fovu-baham/,8pppJv0g,UMS de Loum,Fovu Baham,1:1,elite-one,cameroon,main,2023,2023-10-14
/football/cameroon/elite-one/victoria-united-stade-renard/,zXoxL0Vt,Victoria United,Stade Renard,1:2,elite-one,cameroon,main,2023,2023-10-14
/football/cameroon/elite-one/yong-sports-avion-academy/,KKmlIbFa,Yong Sports Academy,Avion Academy,0:2,elite-one,cameroon,main,2023,2023-10-14
/football/cameroon/elite-one/as-fortuna-mfou-les-astres/,Y7wPA1kq,Fortuna Mfou,Les Astres,2:2,elite-one,cameroon,main,2023,2023-10-14
/football/cameroon/elite-one/dynamo-douala-aigle-royal/,GSjcFssS,Dynamo Douala,Aigle Royal,2:1,elite-one,cameroon,main,2023,2023-10-14
/football/cameroon/elite-one/colombe-bamenda/,CbxT9L4k,Colombe,Bamenda,0:0,elite-one,cameroon,main,2023,2023-10-12
/football/cameroon/elite-one/stade-renard-fauve-azur-elite/,2qHN1wVI,Stade Renard,Fauve Azur Elite,1:0,elite-one,cameroon,main,2023,2023-10-09
/football/cameroon/elite-one/canon-yaounde-bamenda/,rwapIqc9,Canon Yaounde,Bamenda,2:0,elite-one,cameroon,main,2023,2023-10-09
