referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close
/football/brazil/serie-c/brusque-amazonas/,bcaJu1xG,Brusque,Amazonas,1:2,serie-c,brazil,main,2023,2023-10-22,Pinnacle,2.07,2.98,4.17,2.01,2.96,3.77,3.00,3.19,1.33,1.34,2.34,2.44,1.54,1.57,2.03,2.07,1.77,1.80,1.70,1.74,2.04,2.11,1.40,1.42,2.67,2.85,1.40,1.31,2.88,3.38
/football/brazil/serie-c/amazonas-brusque/,WzTMtsN9,Amazonas,Brusque,0:0,serie-c,brazil,main,2023,2023-10-15,Pinnacle,1.93,3.16,4.45,1.95,2.99,3.90,2.87,2.87,1.35,1.41,2.26,2.24,1.57,1.66,1.97,1.93,1.81,1.92,1.67,1.65,2.10,2.27,1.37,1.36,2.77,3.11,,,,
