referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close
/football/brazil/serie-d/retro-pacajus/,tjbW6VX5,Retro,Pacajus,2:1,serie-d,brazil,main,2023,2023-08-06,Pinnacle,1.68,3.34,4.75,1.72,3.17,4.10,1.94,1.88,1.74,1.86,1.71,1.67,1.94,2.09,1.49,1.45,2.29,2.52,,,,,,,,,2.30,2.21,1.51,1.60,2.59,2.52,1.38,1.45,,,,,,,,,,,,,,,,
/football/brazil/serie-d/ser-caxias-do-sul-internacional-de-limeira/,Y5WtdEJm,SER Caxias,Inter de Limeira,1:1,serie-d,brazil,main,2023,2023-08-06,Pinnacle,1.69,3.08,5.26,1.79,2.82,4.25,2.04,1.94,1.62,1.81,1.80,1.68,1.87,2.07,1.53,1.44,2.22,2.54,,,,,,,,,2.53,2.42,1.39,1.51,2.66,2.82,1.40,1.36,,,,,,,,,,,,,,,,
/football/brazil/serie-d/sousa-falcon/,ldLcNjIn,Sousa,Falcon,2:1,serie-d,brazil,main,2023,2023-08-06,Pinnacle,1.69,3.16,3.95,1.71,3.10,4.30,1.93,1.89,1.75,1.74,1.70,1.68,1.96,1.93,1.47,1.47,2.33,2.27,1.28,1.27,3.21,2.99,,,,,2.31,2.22,1.50,1.52,2.61,2.48,1.38,1.39,,,,,,,,,,,,,,,,
/football/brazil/serie-d/tuna-luso-maranhao/,voOEhuDe,Tuna Luso,Maranhao,0:2,serie-d,brazil,main,2023,2023-08-06,Pinnacle,2.08,2.96,3.45,1.74,3.07,4.01,1.95,2.38,1.68,1.49,1.75,2.06,1.93,1.68,1.51,1.79,2.25,1.96,1.27,1.47,3.01,2.48,1.32,1.34,2.98,2.91,,,,,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/athletic-club-brasiliense/,UBvRSCfP,Athletic Club,Brasiliense,0:0,serie-d,brazil,main,2023,2023-08-05,Pinnacle,2.04,2.81,3.67,2.25,2.80,2.98,2.63,2.37,1.37,1.49,2.23,2.02,1.54,1.69,1.93,1.74,1.75,1.99,1.59,1.42,2.13,2.61,1.41,1.29,2.52,3.08,,,,,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/bahia-de-feira-potiguar/,WvB0Gr52,Bahia de Feira,Potiguar,2:0,serie-d,brazil,main,2023,2023-08-05,Pinnacle,1.66,3.19,5.24,2.01,2.74,3.51,2.32,1.88,1.46,1.86,1.99,1.65,1.65,2.12,1.73,1.43,1.95,2.59,,,,,,,,,3.02,2.27,1.31,1.57,2.57,2.63,1.42,1.41,,,,,,,,,,,,,,,,
/football/brazil/serie-d/ceilandia-vitoria-es/,GQ5pGZAJ,Ceilandia,Vitoria ES,3:0,serie-d,brazil,main,2023,2023-08-05,Pinnacle,1.56,3.36,4.65,1.43,3.72,5.54,1.53,1.72,2.22,1.93,1.41,1.55,2.46,2.17,1.39,1.36,2.68,2.60,,,,,,,,,1.72,1.99,1.97,1.65,1.94,2.27,1.69,1.48,,,,,2.16,2.46,1.53,1.41,,,,,,,,
/football/brazil/serie-d/ferroviario-princesa-do-solimoes/,25nu592I,Ferroviario,Princesa do Solimoes,3:0,serie-d,brazil,main,2023,2023-08-05,Pinnacle,1.43,3.83,6.91,1.53,3.43,5.16,1.66,1.54,2.01,2.34,1.51,1.41,2.25,2.63,,,,,,,,,,,,,1.92,1.75,1.76,2.01,2.19,2.03,1.56,1.71,2.58,2.37,1.42,1.50,2.44,2.30,1.43,1.53,,,,,,,,
/football/brazil/serie-d/hercilio-luz-ferroviaria/,M9J5LUna,Hercilio Luz,Ferroviaria,2:3,serie-d,brazil,main,2023,2023-08-05,Pinnacle,2.03,2.55,4.51,1.85,2.80,3.93,2.14,2.40,1.58,1.51,1.86,2.03,1.81,1.73,1.59,1.68,2.13,2.07,1.31,1.32,2.88,3.00,1.30,1.29,3.09,3.18,2.67,3.18,1.36,1.29,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/portuguesa-rj-operario-vg/,CdiGADYt,Portuguesa RJ,Operario VG,4:0,serie-d,brazil,main,2023,2023-08-05,Pinnacle,1.54,3.55,5.72,1.95,2.96,3.47,2.25,1.68,1.53,2.07,1.95,1.52,1.73,2.33,,,,,,,,,,,,,2.79,1.97,1.33,1.78,2.52,2.28,1.42,1.56,,,,,2.52,2.56,1.44,1.43,,,,,,,,
/football/brazil/serie-d/aguia-de-maraba-atletico-cearense/,YqN9Kl25,Aguia De Maraba,Atletico-CE,1:1,serie-d,brazil,main,2023,2023-08-01,Pinnacle,1.85,2.99,4.36,1.89,2.90,3.62,2.19,2.13,1.56,1.65,1.91,1.85,1.76,1.89,1.64,1.57,2.05,2.26,1.36,1.30,2.68,3.12,,,,,2.72,2.70,1.35,1.40,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/democrata-gv-anapolis/,6eOggC36,Democrata GV,Anapolis,0:0,serie-d,brazil,main,2023,2023-08-01,Pinnacle,2.09,2.86,3.43,2.40,2.72,2.83,2.79,2.46,1.33,1.45,2.36,2.08,1.47,1.65,2.46,1.79,1.41,1.93,2.07,1.47,1.60,2.45,1.72,1.33,1.97,2.89,2.91,2.82,1.33,1.31,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/princesa-do-solimoes-ferroviario/,Ktcz6kmC,Princesa do Solimoes,Ferroviario,1:1,serie-d,brazil,main,2023,2023-08-01,Pinnacle,3.31,2.72,2.23,2.73,2.78,2.38,,,,,,,,,2.36,2.77,1.48,1.36,1.98,2.31,1.71,1.53,1.64,1.82,2.05,1.89,,,,,,,,,,,,,,,,,1.46,1.58,2.36,2.21,1.38,1.40,2.72,2.62
/football/brazil/serie-d/brasil-de-pelotas-patrocinense/,prF4F2K8,Brasil de Pelotas,Patrocinense,0:0,serie-d,brazil,main,2023,2023-07-30,Pinnacle,1.90,2.77,3.78,1.93,2.79,3.81,2.23,2.21,1.53,1.53,1.93,1.90,1.75,1.75,1.64,1.62,2.04,2.05,1.35,1.33,2.72,2.73,,,,,2.83,2.83,1.32,1.31,2.63,2.78,1.31,1.32,,,,,,,,,,,,,,,,
/football/brazil/serie-d/brasiliense-athletic-club/,G8jq4THO,Brasiliense,Athletic Club,0:2,serie-d,brazil,main,2023,2023-07-30,Pinnacle,2.33,2.64,3.22,1.55,3.41,4.74,1.68,2.72,1.94,1.37,1.53,2.31,2.17,1.53,1.45,1.96,2.40,1.76,1.28,1.58,2.97,2.21,1.33,1.39,2.70,2.67,,,,,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/operario-vg-portuguesa-rj/,fH4lFgQP,Operario VG,Portuguesa RJ,1:0,serie-d,brazil,main,2023,2023-07-30,Pinnacle,2.38,2.65,3.26,1.80,3.05,3.77,2.03,2.81,1.63,1.36,1.81,2.35,1.85,1.53,1.56,2.00,2.15,1.76,1.31,1.60,2.81,2.21,1.34,1.40,2.78,2.69,,,,,,,,,,,,,,,,,,,,,,,,
