referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close
/football/montenegro/prva-crnogorska-liga/mornar-bar-jezero/,fchsCFzH,Mornar Bar,Jezero,2:1,prva-crnogorska-liga,montenegro,main,2023,2023-12-04,Pinnacle,2.65,2.50,3.39,2.65,2.50,3.39,,3.24,,1.32,,2.62,,1.48,,2.18,,1.70,,1.68,,2.16,,1.43,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/decic-arsenal-tivat/,jPojAg5T,Decic,Arsenal Tivat,0:1,prva-crnogorska-liga,montenegro,main,2023,2023-12-02,Pinnacle,1.41,4.22,8.05,1.41,4.22,8.05,,1.49,,2.53,,,,,,,,,,,,,,,,,,2.60,,1.47,,2.23,,1.65,,1.96,,1.85,,1.67,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/mladost-dg-jedinstvo/,84YH5DDp,Mladost DG,Jedinstvo,2:0,prva-crnogorska-liga,montenegro,main,2023,2023-12-02,Pinnacle,2.19,2.90,3.70,2.19,2.90,3.70,,2.55,,1.49,,2.17,,1.68,,1.85,,1.96,,1.50,,2.56,,1.35,,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/petrovac-buducnost/,M7xM4XSj,Petrovac,Buducnost,2:2,prva-crnogorska-liga,montenegro,main,2023,2023-12-02,Pinnacle,5.31,3.85,1.61,5.31,3.85,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,1.58,,2.05,,1.76,,1.79,,2.05,,1.58,,2.36,,1.46,,2.64,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/rudar-sutjeska/,CYnnBZkN,Rudar,Sutjeska,1:2,prva-crnogorska-liga,montenegro,main,2023,2023-12-02,Pinnacle,4.66,3.26,1.82,4.66,3.26,1.82,,,,,,,,,,,,,,3.35,,1.30,,2.41,,1.56,,,,,,,,,,,,,,,,,,2.01,,1.82,,1.76,,2.05,,1.51,,2.49,,1.44,,2.71,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/jedinstvo-petrovac/,Sp1QFcyh,Jedinstvo,Petrovac,1:1,prva-crnogorska-liga,montenegro,main,2023,2023-11-28,Pinnacle,2.50,3.07,2.90,2.66,2.91,2.54,,,,,2.60,2.44,1.41,1.52,2.26,2.12,1.55,1.71,1.92,1.78,1.83,2.07,1.60,1.54,2.16,2.46,,,,,,,,,,,,,,,,,1.44,1.40,2.48,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/jezero-rudar/,G6gwDeLA,Jezero,Rudar,4:1,prva-crnogorska-liga,montenegro,main,2023,2023-11-27,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/arsenal-tivat-mladost-dg/,A9jVEHjb,Arsenal Tivat,Mladost DG,0:2,prva-crnogorska-liga,montenegro,main,2023,2023-11-26,Pinnacle,2.30,3.08,3.22,1.97,3.02,3.61,2.28,2.70,1.55,1.44,1.99,2.27,1.76,1.62,1.69,1.96,2.02,1.85,1.40,1.62,2.61,2.28,1.36,1.44,2.98,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/buducnost-mornar-bar/,lf2MGwMo,Buducnost,Mornar Bar,4:3,prva-crnogorska-liga,montenegro,main,2023,2023-11-26,Pinnacle,1.39,4.48,7.77,1.43,3.97,6.43,1.52,1.47,2.33,2.61,,,,,,,,,,,,,,,,,2.59,2.45,1.43,1.52,2.22,2.13,1.59,1.70,1.98,1.89,1.77,1.93,1.70,1.62,2.04,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/sutjeska-decic/,MqfZDy64,Sutjeska,Decic,1:1,prva-crnogorska-liga,montenegro,main,2023,2023-11-26,Pinnacle,2.72,2.82,2.87,1.96,3.06,3.61,,,,,1.98,2.65,1.78,1.45,1.68,2.27,2.04,1.63,1.40,1.85,2.61,1.96,1.38,1.56,2.77,2.40,,,,,,,,,,,,,,,,,1.40,1.41,2.79,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
