Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_bookmaker,ah_odds
morocco,botola-2,2023-09-24,Raja Beni Mellal,Olympique Khouribga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-09-24,Kawkab Marrakech,Wydad Fes,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-09-29,Difaa El Jadidi,Meknes,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-09-30,Wydad Fes,Jeunesse Massira,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-09-30,Sale,Dcheira,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-09-30,Raja Beni Mellal,RAC Casablanca,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-01,Chabab Benguerir,Stade Marocain,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-01,Ittifaq Marrakech,Chabab Atlas Khenifra,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-01,Olympique Khouribga,Kawkab Marrakech,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-01,USM Oujda,Rapide Oued Zem,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-07,Dcheira,Wydad Fes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-07,Rapide Oued Zem,Difaa El Jadidi,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-07,RAC Casablanca,Sale,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-07,Kawkab Marrakech,Raja Beni Mellal,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-08,Stade Marocain,Ittifaq Marrakech,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-08,Meknes,Chabab Benguerir,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-08,Jeunesse Massira,Olympique Khouribga,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-08,Chabab Atlas Khenifra,USM Oujda,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-14,Wydad Fes,Stade Marocain,1,1,3.09,2.78,2.17,2.95,2.76,2.26,1.41,1.37,1.73,1.79,,,1.52,1.57,,,1.36,1.39,2.10,2.22,,,,,1.93,1.86,2.49,2.62,2.24,2.15,,,2.67,2.54,,,1.60,1.53,,,,,Pinnacle,
morocco,botola-2,2023-10-14,USM Oujda,Ittifaq Marrakech,1,0,1.76,2.89,3.86,2.16,2.64,3.38,1.84,2.17,1.32,1.36,1.58,1.84,,,1.40,1.61,,,1.48,1.28,,,1.38,1.38,2.83,2.67,1.83,1.52,,,2.14,1.76,,,2.53,2.01,2.37,2.88,,,2.47,2.47,Pinnacle,
morocco,botola-2,2023-10-14,Sale,Meknes,0,2,2.51,2.66,2.75,2.50,2.67,2.75,1.60,1.60,1.50,1.49,1.43,1.43,1.36,1.36,,,,,1.75,1.75,,,,,2.33,2.33,2.12,2.12,2.68,2.69,2.45,2.46,,,,,1.93,1.93,,,,,Pinnacle,
morocco,botola-2,2023-10-14,Chabab Benguerir,Rapide Oued Zem,0,0,2.24,2.85,2.93,2.60,2.58,2.73,1.56,1.75,1.51,1.41,1.40,1.54,1.36,1.43,1.33,1.37,,,1.79,1.60,,,,,2.30,2.49,2.19,1.93,2.67,2.46,2.55,2.22,,,2.78,2.62,1.88,2.12,,,,,Pinnacle,
morocco,botola-2,2023-10-15,Kawkab Marrakech,Dcheira,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-15,Difaa El Jadidi,Chabab Atlas Khenifra,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-15,Raja Beni Mellal,Jeunesse Massira,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-15,Olympique Khouribga,RAC Casablanca,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-21,Stade Marocain,Olympique Khouribga,1,0,2.22,2.68,2.89,2.40,2.33,3.41,1.70,1.70,1.33,1.39,1.47,1.51,,,1.32,1.34,,,1.54,1.57,,,,,2.78,2.45,1.98,1.91,,,2.38,2.20,,,2.86,2.61,2.23,2.07,,,,,Pinnacle,
morocco,botola-2,2023-10-21,RAC Casablanca,Wydad Fes,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-21,Jeunesse Massira,Kawkab Marrakech,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-10-21,Chabab Atlas Khenifra,Chabab Benguerir,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
