Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_bookmaker,ah_odds
morocco,botola-2,2023-11-25,Dcheira,Meknes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-25,Wydad Fes,Chabab Benguerir,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-25,Sale,Difaa El Jadidi,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-26,Raja Beni Mellal,Ittifaq Marrakech,1,0,2.13,2.66,3.07,2.13,2.73,3.07,1.81,1.78,1.34,1.34,1.55,1.55,,,1.37,1.37,,,1.50,1.50,,,,,2.61,2.61,1.86,1.83,,,2.11,2.11,,,2.50,2.50,2.21,2.21,,,,,Pinnacle,
morocco,botola-2,2023-11-26,RAC Casablanca,Chabab Atlas Khenifra,1,1,2.55,2.72,2.51,2.72,2.53,2.67,1.52,1.52,1.53,1.54,1.37,1.37,1.38,1.39,,,,,1.85,1.85,,,,,2.23,2.14,2.28,2.18,2.61,2.45,2.66,2.50,,,,,1.82,1.81,,,,,Pinnacle,
morocco,botola-2,2023-11-26,Olympique Khouribga,USM Oujda,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-11-27,Kawkab Marrakech,Rapide Oued Zem,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-03,USM Oujda,Dcheira,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-03,Sale,Olympique Khouribga,2,1,2.55,2.64,2.51,2.61,2.71,2.57,1.52,1.52,1.53,1.53,1.37,1.37,1.39,1.39,,,,,1.85,1.82,,,,,2.14,2.14,2.18,2.18,2.46,2.46,2.50,2.50,,,,,1.81,1.78,,,,,Pinnacle,
morocco,botola-2,2023-12-03,Rapide Oued Zem,RAC Casablanca,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-03,Meknes,Stade Marocain,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-03,Ittifaq Marrakech,Kawkab Marrakech,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-03,Difaa El Jadidi,Jeunesse Massira,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-03,Chabab Benguerir,Raja Beni Mellal,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-03,Chabab Atlas Khenifra,Wydad Fes,0,0,1.91,2.74,3.54,1.94,2.72,3.90,2.04,1.98,,,1.74,1.70,,,1.52,1.50,,,1.34,1.35,,,1.29,1.29,,,1.64,1.63,,,1.94,1.91,,,2.28,2.22,2.76,2.57,,,2.97,2.82,Pinnacle,
morocco,botola-2,2023-12-08,Kawkab Marrakech,Difaa El Jadidi,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-09,Dcheira,Rapide Oued Zem,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-09,Stade Marocain,Chabab Atlas Khenifra,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-09,Raja Beni Mellal,Sale,4,0,1.82,2.88,3.65,1.79,3.03,3.99,2.22,2.08,,,1.88,1.78,,,1.65,1.57,,,1.30,1.31,,,1.41,1.35,,,1.54,1.57,,,1.79,1.82,,,2.03,2.08,2.96,2.71,,,2.49,2.57,Pinnacle,
morocco,botola-2,2023-12-09,Jeunesse Massira,Meknes,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-10,Wydad Fes,USM Oujda,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-10,RAC Casablanca,Ittifaq Marrakech,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-10,Olympique Khouribga,Chabab Benguerir,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-16,USM Oujda,Jeunesse Massira,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-16,Sale,Wydad Fes,1,3,2.33,2.81,2.80,2.33,2.81,2.80,1.69,,1.43,,1.48,,,,1.33,,,,1.63,,,,,,2.33,,2.00,,,,2.25,,,,2.67,,1.98,,,,,,Pinnacle,
morocco,botola-2,2023-12-16,Chabab Benguerir,Kawkab Marrakech,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-16,Chabab Atlas Khenifra,Raja Beni Mellal,0,0,2.42,2.57,2.98,2.42,2.57,2.98,1.66,,1.42,,1.47,,,,1.31,,,,1.64,,,,,,2.48,,2.04,,,,2.39,,,,2.91,,2.04,,,,,,Pinnacle,
morocco,botola-2,2023-12-17,Rapide Oued Zem,Stade Marocain,0,1,2.60,2.80,2.53,2.60,2.80,2.53,1.54,,1.57,,1.40,,1.42,,,,,,1.86,,,,,,2.16,,2.22,,2.48,,2.54,,,,,,1.81,,,,,,Pinnacle,
morocco,botola-2,2023-12-17,Meknes,RAC Casablanca,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-17,Ittifaq Marrakech,Olympique Khouribga,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
morocco,botola-2,2023-12-17,Difaa El Jadidi,Dcheira,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
