Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-4.5_AH_H_Open,Pinnacle_-4.5_AH_H_Close,Pinnacle_+4.5_AH_A_Open,Pinnacle_+4.5_AH_A_Close,Pinnacle_-4.25_AH_H_Open,Pinnacle_-4.25_AH_H_Close,Pinnacle_+4.25_AH_A_Open,Pinnacle_+4.25_AH_A_Close,Pinnacle_-4_AH_H_Open,Pinnacle_-4_AH_H_Close,Pinnacle_+4_AH_A_Open,Pinnacle_+4_AH_A_Close,Pinnacle_-3.75_AH_H_Open,Pinnacle_-3.75_AH_H_Close,Pinnacle_+3.75_AH_A_Open,Pinnacle_+3.75_AH_A_Close,Pinnacle_-3.5_AH_H_Open,Pinnacle_-3.5_AH_H_Close,Pinnacle_+3.5_AH_A_Open,Pinnacle_+3.5_AH_A_Close,Pinnacle_-3.25_AH_H_Open,Pinnacle_-3.25_AH_H_Close,Pinnacle_+3.25_AH_A_Open,Pinnacle_+3.25_AH_A_Close,Pinnacle_-3_AH_H_Open,Pinnacle_-3_AH_H_Close,Pinnacle_+3_AH_A_Open,Pinnacle_+3_AH_A_Close,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_+2.75_AH_H_Open,Pinnacle_+2.75_AH_H_Close,Pinnacle_-2.75_AH_A_Open,Pinnacle_-2.75_AH_A_Close,Pinnacle_+3_AH_H_Open,Pinnacle_+3_AH_H_Close,Pinnacle_-3_AH_A_Open,Pinnacle_-3_AH_A_Close,Pinnacle_+3.25_AH_H_Open,Pinnacle_+3.25_AH_H_Close,Pinnacle_-3.25_AH_A_Open,Pinnacle_-3.25_AH_A_Close,Pinnacle_+3.5_AH_H_Open,Pinnacle_+3.5_AH_H_Close,Pinnacle_-3.5_AH_A_Open,Pinnacle_-3.5_AH_A_Close,Pinnacle_+3.75_AH_H_Open,Pinnacle_+3.75_AH_H_Close,Pinnacle_-3.75_AH_A_Open,Pinnacle_-3.75_AH_A_Close,Pinnacle_+4_AH_H_Open,Pinnacle_+4_AH_H_Close,Pinnacle_-4_AH_A_Open,Pinnacle_-4_AH_A_Close,Pinnacle_+4.25_AH_H_Open,Pinnacle_+4.25_AH_H_Close,Pinnacle_-4.25_AH_A_Open,Pinnacle_-4.25_AH_A_Close,Pinnacle_+4.5_AH_H_Open,Pinnacle_+4.5_AH_H_Close,Pinnacle_-4.5_AH_A_Open,Pinnacle_-4.5_AH_A_Close
moldova,super-liga,2023-10-01,Milsami,Floresti,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,2.27,1.48,1.55,2.28,2.02,1.48,1.71,2.01,1.75,1.65,2.0,1.76,1.55,1.92,2.3,1.57,1.43,2.13,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-01,Dacia Buiucani,Zimbru Chisinau,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,2.49,1.64,1.46,1.81,2.22,1.86,1.6,1.55,1.93,2.17,1.82,1.41,1.66,2.46,2.1,1.51,1.51,2.34,2.36,1.4,1.4,2.66,2.66,1.46,1.37,2.48,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-07,Milsami,Zimbru Chisinau,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2.86,1.53,1.35,1.95,2.44,1.73,1.5,1.62,1.99,2.04,1.76,1.43,1.61,2.39,2.18,1.43,1.43,2.56,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-07,Dacia Buiucani,Balti,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.78,1.37,1.37,2.05,2.6,1.62,1.42,1.79,2.26,1.88,1.55,1.58,2.02,2.12,1.72,1.37,1.76,2.58,1.99,1.56,1.57,2.27,2.27,1.43,1.44,2.53,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-08,Sparta Selemet,Floresti,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,2.43,1.74,1.48,1.69,2.11,1.94,1.65,1.51,1.9,2.2,1.84,1.53,1.65,2.25,2.11,1.41,1.5,2.52,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-08,Sheriff Tiraspol,Petrocub,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,2.71,1.38,1.39,2.26,2.31,1.49,1.53,2.01,2.03,1.64,1.7,1.75,1.74,1.93,2.03,1.54,1.52,2.19,2.37,1.41,1.43,2.46,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-21,Zimbru Chisinau,Floresti,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,2.6,1.46,1.42,2.09,2.31,1.59,1.55,1.85,2.01,1.82,1.75,1.61,1.71,2.06,2.02,1.47,1.55,2.29,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-21,Sheriff Tiraspol,Sparta Selemet,4,0,2.3,2.39,1.51,1.48,2.11,2.18,1.63,1.59,2.41,1.96,1.46,1.76,2.41,1.74,1.46,1.96,2.16,1.59,1.53,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-21,Balti,Milsami,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,2.94,1.78,1.34,1.57,2.34,2.13,1.54,1.4,1.75,2.48,2.0,1.43,1.51,2.43,2.42,1.33,1.34,2.97,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-22,Petrocub,Dacia Buiucani,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,2.31,1.55,1.51,2.32,2.34,1.46,1.51,2.07,2.07,1.6,1.67,1.81,1.81,1.85,1.93,1.62,1.63,2.04,2.14,1.44,1.43,2.38,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-28,Sparta Selemet,Zimbru Chisinau,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,2.48,1.91,1.45,1.56,2.21,2.14,1.59,1.38,1.93,2.57,1.8,1.43,1.67,2.45,2.06,1.56,1.52,2.18,2.31,1.39,1.4,2.54,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-28,Milsami,Petrocub,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,3.07,1.35,1.31,2.31,2.7,1.48,1.4,1.95,2.18,1.73,1.61,1.61,1.72,2.06,2.05,1.44,1.5,2.37,2.44,1.33,1.33,2.96,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-29,Floresti,Balti,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,2.55,1.44,1.43,2.04,2.4,1.62,1.49,1.74,2.03,1.94,1.71,1.54,1.82,2.18,1.93,1.38,1.63,2.55,2.15,1.38,1.45,2.72,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-10-29,Dacia Buiucani,Sheriff Tiraspol,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,2.52,1.48,1.34,2.36,2.26,1.45,1.47,2.12,2.0,1.58,1.68,1.85,1.76,1.81,1.93,1.66,1.58,1.99,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-11-04,Dacia Buiucani,Sparta Selemet,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.41,1.42,1.45,2.41,2.38,1.48,1.5,2.36,2.11,1.49,1.66,2.33,1.91,1.46,1.83,2.08,1.68,1.6,2.08,1.82,1.52,1.85,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-11-04,Petrocub,Floresti,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,2.52,1.4,1.45,2.22,2.12,1.5,1.65,1.96,1.88,1.68,1.85,1.76,1.65,1.91,2.11,1.52,1.43,2.23,2.59,1.39,1.38,2.51,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-11-05,Sheriff Tiraspol,Milsami,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,2.52,1.51,1.45,1.93,2.09,1.74,1.67,1.71,1.85,1.92,1.89,1.51,1.61,2.2,2.19,1.41,1.38,2.6,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-11-05,Balti,Zimbru Chisinau,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,2.78,1.61,1.37,1.75,2.4,1.93,1.51,1.51,1.93,2.25,1.81,1.38,1.68,2.56,2.07,1.39,1.49,2.68,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-11-10,Zimbru Chisinau,Petrocub,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,2.72,1.42,1.39,2.21,2.39,1.57,1.52,1.86,2.04,1.86,1.72,1.57,1.7,2.21,2.03,1.42,1.52,2.53,2.32,1.38,1.38,2.75,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-11-11,Sparta Selemet,Balti,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.53,1.52,1.45,1.97,2.06,1.77,1.68,1.72,1.81,1.96,1.93,1.54,1.62,2.22,2.18,1.5,1.42,2.38,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-11-11,Milsami,Dacia Buiucani,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,2.58,1.47,1.43,2.03,2.15,1.68,1.63,1.83,1.91,1.89,1.83,1.6,1.68,2.14,2.08,1.39,1.45,2.62,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-11-12,Floresti,Sheriff Tiraspol,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,2.39,2.12,1.47,1.49,2.34,2.34,1.49,1.58,2.22,2.19,1.54,1.54,2.05,2.23,1.66,1.44,1.85,2.45,1.84,1.49,1.68,2.36,2.03,1.5,1.55,2.31,2.2
moldova,super-liga,2023-11-25,Sheriff Tiraspol,Zimbru Chisinau,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,2.83,1.34,1.35,2.3,2.36,1.55,1.51,1.99,2.04,1.75,1.7,1.72,1.79,2.0,1.96,1.45,1.51,2.49,2.41,1.35,1.37,2.85,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-11-25,Petrocub,Balti,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.26,1.47,1.51,2.39,2.01,1.47,1.66,2.11,1.79,1.62,1.96,1.83,1.55,1.89,2.21,1.63,1.42,2.1,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-11-25,Milsami,Sparta Selemet,3,1,,,,,,,,,,,,,,,,,2.35,2.32,1.49,1.51,2.16,2.16,1.61,1.58,2.55,1.95,1.43,1.74,2.32,1.76,1.51,1.95,2.35,1.62,1.49,2.13,2.13,1.46,1.62,2.44,1.89,1.43,1.82,2.56,1.67,1.46,2.05,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-11-27,Dacia Buiucani,Floresti,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.57,1.56,1.43,2.01,2.29,1.74,1.56,1.72,1.98,1.99,1.78,1.53,1.69,2.28,2.06,1.53,1.52,2.28,2.32,1.41,1.43,2.64,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-12-03,Zimbru Chisinau,Dacia Buiucani,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,2.43,1.56,1.47,1.93,2.04,1.78,1.68,1.72,1.8,1.97,1.87,1.52,1.61,2.26,2.18,1.39,1.39,2.64,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-12-03,Sparta Selemet,Petrocub,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,2.46,2.08,1.45,1.52,2.27,2.3,1.53,1.51,2.17,2.32,1.53,1.45,1.95,2.46,1.68,1.58,1.74,2.19,1.91,1.47,1.58,2.4,2.1,1.47,1.45,2.41,2.36,,,,,,,,,,,,
moldova,super-liga,2023-12-03,Floresti,Milsami,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,2.93,1.34,1.34,2.46,2.31,1.44,1.55,2.1,1.99,1.63,1.77,1.9,1.75,1.83,1.97,1.64,1.52,2.08,2.33,1.49,1.43,2.34,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moldova,super-liga,2023-12-03,Balti,Sheriff Tiraspol,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,2.43,1.46,1.43,2.37,2.16,1.5,1.57,2.08,1.86,1.66,1.81,1.79,1.61,1.93,2.1,1.61,1.46,2.17,2.37,1.44,1.42,2.51,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
