Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close
brazil,serie-c,2023-10-15,Amazonas,Brusque,0,0,2.87,2.87,1.35,1.41,2.26,2.24,1.57,1.66,1.97,1.93,1.81,1.92,1.67,1.65,2.1,2.27,1.37,1.36,2.77,3.11,,,,
brazil,serie-c,2023-10-22,Brusque,Amazonas,1,2,3.0,3.19,1.33,1.34,2.34,2.44,1.54,1.57,2.03,2.07,1.77,1.8,1.7,1.74,2.04,2.11,1.4,1.42,2.67,2.85,1.4,1.31,2.88,3.38
