team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Babrungas,Garliava,1.6607264205364183,0.9721623213903922,True,4.788063326171451e-13,Babrungas,Garliava,1.5350229453070245,1.0729057686910592,True,2.513885023800333e-10
BE1 NFA,FK Minija,2.088831127434335,0.6940842043428022,True,5.047550420642939e-09,BE1 NFA,FK Minija,2.581219300943497,1.4341327370042982,True,1.5553462727696863e-11
Nevezis Kedainiai,Riteriai 2,2.03842166802437,0.8950153541276071,True,9.64613987381305e-10,Nevezis Kedainiai,Riteriai 2,2.372978719357655,1.4222753319770798,True,2.0198883437189865e-10
Neptunas,Transinvest,1.5530916606432696,1.1265358316728538,True,3.7781978509339534e-11,Neptunas,Transinvest,1.3053298808525615,1.1320759944155718,True,1.1105402589904918e-11
BFA Vilnius,FK Panevezys 2,1.3759151434874421,1.3000520761986583,True,4.1702739346516346e-10,BFA Vilnius,FK Panevezys 2,1.8528565970830868,1.3306611623933653,True,3.785455144506382e-15
Siauliai 2,Marijampole City,1.1896572110364467,1.3760169589067925,True,3.0657656968773707e-12,Siauliai 2,Marijampole City,1.41619836302693,1.9750137307309823,True,1.4345204608390464e-10
Ekranas,Zalgiris 2,1.4366094075303775,1.2615547908188744,True,5.805131349877381e-10,Ekranas,Zalgiris 2,1.6661037484920456,1.1527030819251545,True,4.6404630426411455e-12
Riteriai 2,Neptunas,0.885351198585702,1.8248862066470064,True,1.9412216273768447e-10,Riteriai 2,Neptunas,1.1827394797193198,2.1054113019248097,True,1.594712377445321e-11
FK Panevezys 2,Babrungas,1.2492075869596453,1.5403223754086237,True,1.9923288855269386e-10,FK Panevezys 2,Babrungas,1.3037452726382222,1.626711055857601,True,9.039933536604607e-11
Garliava,Marijampole City,1.1247143482929123,1.3624303655208236,True,1.6426435589866434e-12,Garliava,Marijampole City,1.2529059930032578,1.7722055535667958,True,8.234733775782558e-11
FK Minija,Nevezis Kedainiai,0.8117692696670565,1.743863461013024,True,3.0593142912409138e-09,FK Minija,Nevezis Kedainiai,1.1859751472243434,1.6597292986936183,True,4.734816369157191e-11
BFA Vilnius,Zalgiris 2,1.3163128615260276,1.2902341115247244,True,1.8285497606769105e-14,BFA Vilnius,Zalgiris 2,1.5446721405450172,1.222218811740241,True,2.1630678126232006e-13
Siauliai 2,BE1 NFA,0.7439061704540725,1.6253526907332425,True,3.0219221692234186e-09,Siauliai 2,BE1 NFA,1.3228660510981474,2.0831289380213796,True,1.0090843318329136e-10
Ekranas,Kauno Zalgiris 2,1.7084172583715036,1.0393230305551378,True,1.9290568042470716e-14,Ekranas,Kauno Zalgiris 2,1.8169214426019984,1.1103892157538677,True,6.892396166719843e-14
Babrungas,Zalgiris 2,1.655780917002447,1.1288990064711266,True,2.941577288677894e-12,Babrungas,Zalgiris 2,1.6902521089659184,1.0511957319257492,True,1.3659762358595994e-10
Neptunas,FK Minija,2.2665655465150656,0.8139900230003653,True,1.4551249996707511e-11,Neptunas,FK Minija,2.165268923875864,0.7944970845269406,True,4.201792910407456e-13
Nevezis Kedainiai,Siauliai 2,2.066089630806466,0.9201364698790712,True,1.096645903730516e-09,Nevezis Kedainiai,Siauliai 2,2.040319272509225,0.8168938429739875,True,1.8549600619535627e-10
Jonava,Riteriai 2,1.5992223992574874,1.0409511705612922,True,1.2871598322406365e-12,Jonava,Riteriai 2,1.1644483131038905,1.219327434247585,True,5.469517605258427e-13
Kauno Zalgiris 2,Transinvest,1.4003072626747826,1.0572180002213167,True,3.5208378240164365e-14,Kauno Zalgiris 2,Transinvest,1.1137827592259086,1.4957633468304208,True,5.0956732992729645e-12
Marijampole City,FK Panevezys 2,2.01965652312919,1.0647665735126364,True,3.842611906257413e-13,Marijampole City,FK Panevezys 2,1.9936283435076247,1.0160301225712316,True,2.38803317724015e-09
BFA Vilnius,Ekranas,1.4045679924737131,1.3462890363340718,True,1.4219360422454179e-09,BFA Vilnius,Ekranas,1.2998653460767315,1.4144862940755425,True,9.9701340300897e-13
BE1 NFA,Garliava,2.0507657280621374,0.6757229775571568,True,6.641927021741989e-09,BE1 NFA,Garliava,1.7392100904300045,0.9348168145369711,True,9.000744579313754e-14
Garliava,Nevezis Kedainiai,0.8277623053883962,1.6293426298358016,True,8.760744871135533e-11,Garliava,Nevezis Kedainiai,1.0021492181597804,1.0501625305086477,True,1.644562953789845e-11
FK Minija,Jonava,2.0291530170778747,0.792516006902338,True,5.783740968587845e-12,FK Minija,Jonava,2.506032311429857,1.295789421420686,True,3.089305056240436e-10
Ekranas,Babrungas,1.3093200526033228,1.444833369416669,True,4.496211197930138e-13,Ekranas,Babrungas,1.6521549314179929,1.4058187334669539,True,5.668169762382995e-12
BFA Vilnius,Kauno Zalgiris 2,1.8420633663040342,1.0416587226562717,True,5.346325397303169e-10,BFA Vilnius,Kauno Zalgiris 2,1.8542825920460224,1.5536533460435848,True,8.719730120244786e-13
Marijampole City,Zalgiris 2,1.7209003028762113,1.09070629231242,True,5.242350338919696e-11,Marijampole City,Zalgiris 2,1.758914890112171,0.9852347043108013,True,1.6863585439280434e-10
FK Panevezys 2,BE1 NFA,0.955120018926587,1.809006411189633,True,2.9737351506799104e-09,FK Panevezys 2,BE1 NFA,0.8770704153294464,1.8063250643047393,True,2.4735863984439745e-10
Transinvest,Riteriai 2,2.0231731112657396,1.1268736265110137,True,9.211943640178275e-13,Transinvest,Riteriai 2,1.8103223534101753,1.0012628201536868,True,2.7283610208317306e-10
