team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
U. de Deportes,Alianza Lima,1.5752942747840264,0.6885372605817159,True,1.167099391618772e-14,U. de Deportes,Alianza Lima,1.191357103208651,0.5428948230666337,True,9.616777782756214e-10
Alianza Lima,U. de Deportes,1.1875954542346872,0.8418697233759329,True,5.9568113035447394e-12,Alianza Lima,U. de Deportes,0.7533794999289682,0.8561678001326842,True,1.2876120986909656e-10
