Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close
iran,persian-gulf-pro-league,2023-08-09,Persepolis,Aluminium Arak,1,0,,,,,,,,,,,,,,,,,2.24,2.48,1.56,1.51,1.98,2.17,1.77,1.68,1.65,1.83,2.09,2.0,1.46,1.58,2.43,2.36,1.41,1.44,2.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-09,Esteghlal Khuzestan,Shams Azar Qazvin,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.82,1.45,1.4,2.24,2.38,1.63,1.57,1.84,1.9,1.97,1.92,1.55,1.56,2.4,2.41,1.4,1.4,2.8,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-09,Nassaji Mazandaran,Paykan,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.8,1.38,1.41,2.24,2.31,1.56,1.61,1.92,1.91,1.82,1.91,1.53,1.47,2.32,2.66,1.35,1.3,2.81,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-09,Malavan,Zob Ahan,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,3.06,1.43,1.35,2.21,2.55,1.6,1.51,1.79,1.98,1.96,1.84,1.51,1.58,2.41,2.37,1.36,1.4,2.82,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-09,Gol Gohar,Foolad,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,2.7,1.42,1.44,2.18,2.26,1.59,1.63,1.79,1.79,1.96,2.05,1.5,1.49,2.38,2.59,1.36,1.35,2.78,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-10,Sanat Naft,Esteghlal F.C.,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,3.44,1.27,1.29,2.32,2.32,1.53,1.6,1.96,1.91,1.79,1.91,1.69,1.66,2.03,2.21,1.44,1.41,2.5,2.79,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-10,Havadar SC,Mes Rafsanjan,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,3.14,1.29,1.34,2.68,2.53,1.38,1.51,2.01,1.88,1.69,1.93,1.74,1.6,2.03,2.32,1.51,1.41,2.36,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-10,Sepahan,Tractor,3,1,,,,,,,,,,,,,,,,,,,,,2.49,2.84,1.46,1.4,2.16,2.47,1.63,1.53,1.82,2.02,1.93,1.81,1.61,1.75,2.18,2.06,1.4,1.49,2.67,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-15,Paykan,Gol Gohar,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,3.23,1.44,1.32,2.15,2.56,1.65,1.5,1.76,1.85,2.07,1.97,1.53,1.57,2.4,2.39,1.36,1.38,2.92,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-15,Aluminium Arak,Esteghlal Khuzestan,1,0,,,,,,,,,,,,,,,,,,,,,,,,,3.26,3.17,1.31,1.33,2.91,2.32,1.38,1.6,2.38,1.95,1.56,1.86,2.02,1.61,1.8,2.3,1.61,1.27,2.28,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
